Tanggal,curah_hujan
31/12/2019,0
1/1/2020,"145,3"
2/1/2020,"58,8"
3/1/2020,
4/1/2020,"2,5"
5/1/2020,"0,2"
6/1/2020,"18,2"
7/1/2020,15
8/1/2020,"2,8"
9/1/2020,"28,7"
10/1/2020,"23,6"
11/1/2020,"20,4"
12/1/2020,"4,3"
13/01/2020,"1,5"
14/01/2020,"0,5"
15/01/2020,"33,8"
16/01/2020,0
17/01/2020,8888
18/01/2020,"78,5"
19/01/2020,"3,8"
20/01/2020,
21/01/2020,"2,4"
22/01/2020,"0,3"
23/01/2020,74
24/01/2020,"7,8"
25/01/2020,"123,7"
26/01/2020,"7,4"
27/01/2020,"12,3"
28/01/2020,"4,2"
29/01/2020,0
30/01/2020,22
31/01/2020,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
